district,district_check,merge,province,year,mz_ha_dry,mz_ha_irr,mz_pr_dry,mz_pr_irr,wh_ha_dry,wh_ha_irr,wh_pr_dry,wh_pr_irr
Soutpansberg,Soutpansberg,,Limpopo,2007,925,428,4178,2324,,,,
Springs,Springs,,Gauteng,2007,334,,2014,,,,,
Standerton,Standerton,,Mpumalanga,2007,51174,2256,179040,19955,1447,540,4579,2330
Stellenbosch,Stellenbosch,,Western Cape,2007,,,,,350,,1050,
Sterkstroom,Sterkstroom,,Eastern Cape,2007,,,,,,,,
Steynsburg,Steynsburg,,Eastern Cape,2007,39,122,117,200,,,,
Steytlerville,Steytlerville,,Eastern Cape,2007,,65,,600,,,,
Strand,Strand,,Western Cape,2007,,,,,,,,
Stutterheim,Stutterheim,,Eastern Cape,2007,80,14,318,62,34,,46,
Sutherland,Sutherland,,Northern Cape,2007,,,,,,,,
Swellendam,Swellendam,,Western Cape,2007,5062,265,14889,1319,13298,140,34358,392
Tarka,Tarka,,Eastern Cape,2007,110,,304,,,,,
Thaba'Nchu,Thaba'Nchu,,Free State,2007,,,,,,,,
Thabazimbi,Thabazimbi,,Limpopo,2007,2260,1807,8835,13555,2161,3388,5819,16310
Theunissen,Theunissen,,Free State,2007,22560,1221,76909,7805,5878,1221,12487,5604
Trompsburg,Trompsburg,,Free State,2007,,40,,209,,25,,24
Tulbagh,Tulbagh,,Western Cape,2007,,,,,2161,,4857,
Ubombo,Ubombo,,KwaZulu-Natal,2007,,,,,,,,
Uitenhage,Uitenhage,,Eastern Cape,2007,1000,40,3144,340,,,,
Umbumbulu,Umbumbulu,,KwaZulu-Natal,2007,,,,,,,,
Umlazi,Umlazi,,KwaZulu-Natal,2007,178,,1588,,,,,
Umtata,Umtata,,Eastern Cape,2007,45,,80,,,,,
Umvoti,Umvoti,,KwaZulu-Natal,2007,2216,447,12398,2856,,175,,1125
Umzinto,Umzinto,,KwaZulu-Natal,2007,,,,,,,,
Underberg,Underberg,,KwaZulu-Natal,2007,1861,,9908,,,,,
Uniondale,Uniondale,,Western Cape,2007,,,,,30,,75,
Utrecht,Utrecht,,KwaZulu-Natal,2007,2181,1444,6493,7989,,160,,580
Van Rhynsdorp,Van Rhynsdorp,,Western Cape,2007,,,,,2395,19,2295,109
Vanderbijlpark,Vanderbijlpark,,Gauteng,2007,3858,16,9584,122,,,,
Ventersburg,Ventersburg,,Free State,2007,6968,578,13050,6940,1466,43,3278,250
Ventersdorp,Ventersdorp,,North West,2007,32201,2446,80829,14052,300,254,400,872
Venterstad,Venterstad,,Eastern Cape,2007,,,,,,,,
Vereeniging,Vereeniging,,Gauteng,2007,3958,16,13877,60,516,97,826,561
Victoria East,Victoria East,,Eastern Cape,2007,292,,906,,107,,304,
Victoria-West,Victoria-West,,Northern Cape,2007,30,,90,,,,,
Viljoenskroon,Viljoenskroon,,Free State,2007,49467,1325,161539,7920,389,,703,
Virginia,Virginia,,Free State,2007,4151,22,9553,135,935,19,1584,97
Volksrust,Volksrust,,Mpumalanga,2007,1570,,3406,,,,,
Vrede,Vrede,,Free State,2007,20289,774,54947,3770,706,85,1166,235
Vredefort,Vredefort,,Free State,2007,6431,597,15680,2230,152,,273,
Vredenburg,Vredenburg,,Western Cape,2007,,,,,2645,,3979,
Vredendal,Vredendal,,Western Cape,2007,152,26,451,82,3093,238,6331,686
Vryburg,Vryburg,,North West,2007,33417,2447,82458,9282,287,100,833,310
Vryheid,Vryheid,,KwaZulu-Natal,2007,9914,1720,37231,12486,,194,,800
Wakkerstroom,Wakkerstroom,,Mpumalanga,2007,3579,233,12015,1709,,80,,400
Warmbad,Warmbad,,Limpopo,2007,3083,2590,14738,15225,3069,25,5675,110
Warrenton,Warrenton,,Northern Cape,2007,435,787,1319,4291,11,1143,25,4853
Waterberg,Waterberg,,Limpopo,2007,4352,4220,12194,14619,110,192,175,1089
Waterval-Boven,Waterval-Boven,,Mpumalanga,2007,,,,,,,,
Weenen,Weenen,,KwaZulu-Natal,2007,,105,,850,,,,
Welkom,Welkom,,Free State,2007,9342,108,24953,666,1472,52,3664,256
Wellington,Wellington,,Western Cape,2007,,,,,2070,,5387,
Wepener,Wepener,,Free State,2007,58,100,26,600,,114,,550
Wesselsbron,Wesselsbron,,Free State,2007,68315,963,258939,6040,5669,1070,15022,3108
Westonaria,Westonaria,,Gauteng,2007,3920,40,16009,118,,,,
Williston,Williston,,Northern Cape,2007,,,,,,,,
Willowmore,Willowmore,,Eastern Cape,2007,,,,,,,,
Winburg,Winburg,,Free State,2007,9226,106,26266,326,4559,97,8989,234
Winterton,WINC,s4,KwaZulu-Natal,2007,,,,,,,,
Witbank,Witbank,,Mpumalanga,2007,26758,11636,121289,48318,530,854,1550,5324
Witrivier,Witrivier,,Mpumalanga,2007,139,28,531,143,,,,
Witsieshoek,Witsieshoek,,Free State,2007,,,,,,,,
Wodehouse,Wodehouse,,Eastern Cape,2007,261,,610,,310,20,710,50
Wolmaransstad,Wolmaransstad,,North West,2007,99135,8160,249912,35052,2644,183,13373,980
Wonderboom,Wonderboom,,Gauteng,2007,,,,,,,,
Worcester,Worcester,,Western Cape,2007,,140,,838,1214,38,2535,130
Wynberg,Wynberg,,Western Cape,2007,,,,,,,,
Zastron,Zastron,,Free State,2007,489,,395,,356,,429,
