RUN,TR,CU,FNAM,PDAT,HWAH,w
271,9,2,ZASP0001,2001288,3579,0.1
272,9,2,ZASP0001,2002288,2417,0.1
273,9,2,ZASP0001,2003288,3512,0.1
274,9,2,ZASP0001,2004288,2866,0.1
275,9,2,ZASP0001,2005288,3994,0.1
276,9,2,ZASP0001,2006288,3875,0.1
277,9,2,ZASP0001,2007288,3409,0.1
278,9,2,ZASP0001,2008288,3365,0.1
279,9,2,ZASP0001,2009288,3530,0.1
280,10,2,ZASP0001,1979303,4898,0.1
281,10,2,ZASP0001,1980303,4329,0.1
282,10,2,ZASP0001,1981303,4257,0.1
283,10,2,ZASP0001,1982303,4273,0.1
284,10,2,ZASP0001,1983303,3117,0.1
285,10,2,ZASP0001,1984303,3931,0.1
286,10,2,ZASP0001,1985303,3860,0.1
287,10,2,ZASP0001,1986303,4474,0.1
288,10,2,ZASP0001,1987303,3285,0.1
289,10,2,ZASP0001,1988303,4653,0.1
290,10,2,ZASP0001,1989303,3286,0.1
291,10,2,ZASP0001,1990303,3592,0.1
292,10,2,ZASP0001,1991303,4168,0.1
293,10,2,ZASP0001,1992303,4067,0.1
294,10,2,ZASP0001,1993303,4159,0.1
295,10,2,ZASP0001,1994303,2738,0.1
296,10,2,ZASP0001,1995303,3072,0.1
297,10,2,ZASP0001,1996303,3934,0.1
298,10,2,ZASP0001,1997303,4177,0.1
299,10,2,ZASP0001,1998303,4000,0.1
300,10,2,ZASP0001,1999303,3387,0.1
301,10,2,ZASP0001,2000303,5089,0.1
302,10,2,ZASP0001,2001303,4583,0.1
303,10,2,ZASP0001,2002303,3370,0.1
304,10,2,ZASP0001,2003303,4133,0.1
305,10,2,ZASP0001,2004303,3825,0.1
306,10,2,ZASP0001,2005303,3670,0.1
307,10,2,ZASP0001,2006303,4849,0.1
308,10,2,ZASP0001,2007303,4288,0.1
309,10,2,ZASP0001,2008303,4188,0.1
310,10,2,ZASP0001,2009303,4013,0.1
311,11,2,ZASP0001,1979318,5021,0.1
312,11,2,ZASP0001,1980318,5044,0.1
313,11,2,ZASP0001,1981318,4403,0.1
314,11,2,ZASP0001,1982318,5627,0.1
315,11,2,ZASP0001,1983318,4876,0.1
316,11,2,ZASP0001,1984318,4897,0.1
317,11,2,ZASP0001,1985318,5895,0.1
318,11,2,ZASP0001,1986318,5633,0.1
319,11,2,ZASP0001,1987318,5018,0.1
320,11,2,ZASP0001,1988318,5462,0.1
321,11,2,ZASP0001,1989318,4420,0.1
322,11,2,ZASP0001,1990318,5030,0.1
323,11,2,ZASP0001,1991318,5617,0.1
324,11,2,ZASP0001,1992318,5866,0.1
325,11,2,ZASP0001,1993318,5260,0.1
326,11,2,ZASP0001,1994318,4592,0.1
327,11,2,ZASP0001,1995318,4902,0.1
328,11,2,ZASP0001,1996318,5646,0.1
329,11,2,ZASP0001,1997318,4756,0.1
330,11,2,ZASP0001,1998318,4741,0.1
331,11,2,ZASP0001,1999318,4827,0.1
332,11,2,ZASP0001,2000318,6269,0.1
333,11,2,ZASP0001,2001318,5578,0.1
334,11,2,ZASP0001,2002318,4681,0.1
335,11,2,ZASP0001,2003318,5489,0.1
336,11,2,ZASP0001,2004318,5597,0.1
337,11,2,ZASP0001,2005318,4548,0.1
338,11,2,ZASP0001,2006318,5895,0.1
339,11,2,ZASP0001,2007318,4322,0.1
340,11,2,ZASP0001,2008318,4150,0.1
341,11,2,ZASP0001,2009318,4378,0.1
342,12,2,ZASP0001,1979333,5209,0.1
343,12,2,ZASP0001,1980333,5240,0.1
344,12,2,ZASP0001,1981333,5243,0.1
345,12,2,ZASP0001,1982333,6038,0.1
346,12,2,ZASP0001,1983333,5506,0.1
347,12,2,ZASP0001,1984333,5290,0.1
348,12,2,ZASP0001,1985333,6385,0.1
349,12,2,ZASP0001,1986333,5884,0.1
350,12,2,ZASP0001,1987333,5349,0.1
351,12,2,ZASP0001,1988333,5417,0.1
352,12,2,ZASP0001,1989333,5143,0.1
353,12,2,ZASP0001,1990333,5692,0.1
354,12,2,ZASP0001,1991333,5665,0.1
355,12,2,ZASP0001,1992333,6507,0.1
356,12,2,ZASP0001,1993333,5805,0.1
357,12,2,ZASP0001,1994333,5351,0.1
358,12,2,ZASP0001,1995333,5940,0.1
359,12,2,ZASP0001,1996333,6095,0.1
360,12,2,ZASP0001,1997333,5066,0.1
361,12,2,ZASP0001,1998333,5279,0.1
362,12,2,ZASP0001,1999333,5926,0.1
363,12,2,ZASP0001,2000333,6532,0.1
364,12,2,ZASP0001,2001333,6106,0.1
365,12,2,ZASP0001,2002333,5701,0.1
366,12,2,ZASP0001,2003333,6205,0.1
367,12,2,ZASP0001,2004333,5383,0.1
368,12,2,ZASP0001,2005333,4612,0.1
369,12,2,ZASP0001,2006333,5765,0.1
370,12,2,ZASP0001,2007333,3503,0.1
371,12,2,ZASP0001,2008333,5098,0.1
372,12,2,ZASP0001,2009333,5341,0.1
373,13,2,ZASP0001,1979348,5595,0.1
374,13,2,ZASP0001,1980348,5748,0.1
375,13,2,ZASP0001,1981348,6716,0.1
376,13,2,ZASP0001,1982348,7436,0.1
377,13,2,ZASP0001,1983348,6349,0.1
378,13,2,ZASP0001,1984348,5427,0.1
379,13,2,ZASP0001,1985348,6376,0.1
380,13,2,ZASP0001,1986348,6371,0.1
381,13,2,ZASP0001,1987348,6347,0.1
382,13,2,ZASP0001,1988348,5478,0.1
383,13,2,ZASP0001,1989348,5351,0.1
384,13,2,ZASP0001,1990348,6689,0.1
385,13,2,ZASP0001,1991348,6263,0.1
386,13,2,ZASP0001,1992348,6206,0.1
387,13,2,ZASP0001,1993348,6796,0.1
388,13,2,ZASP0001,1994348,5995,0.1
389,13,2,ZASP0001,1995348,5904,0.1
390,13,2,ZASP0001,1996348,6494,0.1
391,13,2,ZASP0001,1997348,6892,0.1
392,13,2,ZASP0001,1998348,6419,0.1
393,13,2,ZASP0001,1999348,6466,0.1
394,13,2,ZASP0001,2000348,6056,0.1
395,13,2,ZASP0001,2001348,6663,0.1
396,13,2,ZASP0001,2002348,6811,0.1
397,13,2,ZASP0001,2003348,5893,0.1
398,13,2,ZASP0001,2004348,5737,0.1
399,13,2,ZASP0001,2005348,4604,0.1
400,13,2,ZASP0001,2006348,5819,0.1
401,13,2,ZASP0001,2007348,3311,0.1
402,13,2,ZASP0001,2008348,6595,0.1
403,13,2,ZASP0001,2009348,5936,0.1
404,14,2,ZASP0001,1979363,5518,0.1
405,14,2,ZASP0001,1980363,5468,0.1
406,14,2,ZASP0001,1981363,7040,0.1
407,14,2,ZASP0001,1982363,7618,0.1
408,14,2,ZASP0001,1983363,7096,0.1
409,14,2,ZASP0001,1984363,6117,0.1
410,14,2,ZASP0001,1985363,6759,0.1
411,14,2,ZASP0001,1986363,6969,0.1
412,14,2,ZASP0001,1987363,6705,0.1
413,14,2,ZASP0001,1988363,4962,0.1
414,14,2,ZASP0001,1989363,4911,0.1
415,14,2,ZASP0001,1990363,7250,0.1
416,14,2,ZASP0001,1991363,7056,0.1
417,14,2,ZASP0001,1992363,7052,0.1
418,14,2,ZASP0001,1993363,6124,0.1
419,14,2,ZASP0001,1994363,6993,0.1
420,14,2,ZASP0001,1995363,6308,0.1
421,14,2,ZASP0001,1996363,5877,0.1
422,14,2,ZASP0001,1997363,6212,0.1
423,14,2,ZASP0001,1998363,6548,0.1
424,14,2,ZASP0001,1999363,6105,0.1
425,14,2,ZASP0001,2000363,6324,0.1
426,14,2,ZASP0001,2001363,6552,0.1
427,14,2,ZASP0001,2002363,6786,0.1
428,14,2,ZASP0001,2003363,5493,0.1
429,14,2,ZASP0001,2004363,6290,0.1
430,14,2,ZASP0001,2005363,4678,0.1
431,14,2,ZASP0001,2006363,5143,0.1
432,14,2,ZASP0001,2007363,3199,0.1
433,14,2,ZASP0001,2008363,6611,0.1
434,14,2,ZASP0001,2009363,5586,0.1
435,15,2,ZASP0001,1980013,6390,0.1
436,15,2,ZASP0001,1981013,6220,0.1
437,15,2,ZASP0001,1982013,7369,0.1
438,15,2,ZASP0001,1983013,7513,0.1
439,15,2,ZASP0001,1984013,7619,0.1
440,15,2,ZASP0001,1985013,6255,0.1
441,15,2,ZASP0001,1986013,6450,0.1
442,15,2,ZASP0001,1987013,7427,0.1
443,15,2,ZASP0001,1988013,7250,0.1
444,15,2,ZASP0001,1989013,4494,0.1
445,15,2,ZASP0001,1990013,4859,0.1
446,15,2,ZASP0001,1991013,7680,0.1
447,15,2,ZASP0001,1992013,6703,0.1
448,15,2,ZASP0001,1993013,6577,0.1
